filename,width,height,class,xmin,ymin,xmax,ymax
1478900859981702684_jpg.rf.6830635c7d9197475638f0818f5dd103.jpg,512,512,car,291,247,370,331
1478900859981702684_jpg.rf.6830635c7d9197475638f0818f5dd103.jpg,512,512,pedestrian,270,235,293,321
1478900859981702684_jpg.rf.6830635c7d9197475638f0818f5dd103.jpg,512,512,car,0,266,13,327
1478900859981702684_jpg.rf.6830635c7d9197475638f0818f5dd103.jpg,512,512,car,25,258,106,304
1478900859981702684_jpg.rf.6830635c7d9197475638f0818f5dd103.jpg,512,512,car,111,259,135,289
1478900859981702684_jpg.rf.6830635c7d9197475638f0818f5dd103.jpg,512,512,car,128,226,274,423
1478900859981702684_jpg.rf.6830635c7d9197475638f0818f5dd103.jpg,512,512,car,325,223,440,347
1478900859981702684_jpg.rf.6830635c7d9197475638f0818f5dd103.jpg,512,512,car,388,234,510,388
1478899488314454755_jpg.rf.68494c78e9f58ebf38ee31d494f9a89d.jpg,512,512,pedestrian,21,256,31,282
1478899488314454755_jpg.rf.68494c78e9f58ebf38ee31d494f9a89d.jpg,512,512,pedestrian,32,254,43,284
1478899488314454755_jpg.rf.68494c78e9f58ebf38ee31d494f9a89d.jpg,512,512,car,69,251,118,300
1478899488314454755_jpg.rf.68494c78e9f58ebf38ee31d494f9a89d.jpg,512,512,pedestrian,151,258,168,280
1478899488314454755_jpg.rf.68494c78e9f58ebf38ee31d494f9a89d.jpg,512,512,car,179,252,209,292
1478899488314454755_jpg.rf.68494c78e9f58ebf38ee31d494f9a89d.jpg,512,512,biker,231,231,261,360
1478899488314454755_jpg.rf.68494c78e9f58ebf38ee31d494f9a89d.jpg,512,512,car,256,241,280,301
1478899488314454755_jpg.rf.68494c78e9f58ebf38ee31d494f9a89d.jpg,512,512,pedestrian,371,223,385,252
1478900248129916341_jpg.rf.68a191327e8dfd6676907a839a8e6a11.jpg,512,512,truck,216,258,226,267
